file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2014GS2.json,2014,GS2,20,20,40,149,orphan,47.9,true
UPSCCSEMains2014GS3.json,2014,GS3,1,1,41,111,orphan,50.0,true
UPSCCSEMains2014GS3.json,2014,GS3,2,2,42,116,orphan,51.3,true
UPSCCSEMains2014GS3.json,2014,GS3,3,3,43,120,orphan,57.6,true
UPSCCSEMains2014GS3.json,2014,GS3,4,4,44,122,orphan,48.7,true
UPSCCSEMains2014GS3.json,2014,GS3,5,5,45,144,orphan,54.9,true
UPSCCSEMains2014GS3.json,2014,GS3,6,6,46,127,orphan,50.4,true
UPSCCSEMains2014GS3.json,2014,GS3,7,7,47,134,orphan,55.4,true
UPSCCSEMains2014GS3.json,2014,GS3,8,8,48,110,orphan,51.4,true
UPSCCSEMains2014GS3.json,2014,GS3,9,9,49,111,orphan,50.9,true
UPSCCSEMains2014GS3.json,2014,GS3,10,10,50,115,orphan,48.7,true
UPSCCSEMains2014GS3.json,2014,GS3,11,11,51,154,orphan,55.3,true
UPSCCSEMains2014GS3.json,2014,GS3,12,12,52,133,orphan,45.7,true
UPSCCSEMains2014GS3.json,2014,GS3,13,13,53,135,orphan,51.9,true
UPSCCSEMains2014GS3.json,2014,GS3,14,14,54,145,orphan,47.2,true
UPSCCSEMains2014GS3.json,2014,GS3,15,15,55,139,orphan,47.4,true
UPSCCSEMains2014GS3.json,2014,GS3,16,16,56,120,orphan,52.5,true
UPSCCSEMains2014GS3.json,2014,GS3,17,17,57,133,orphan,51.1,true
UPSCCSEMains2014GS3.json,2014,GS3,18,18,58,137,orphan,54.1,true
UPSCCSEMains2014GS3.json,2014,GS3,19,19,59,133,orphan,45.4,true
UPSCCSEMains2014GS3.json,2014,GS3,20,20,60,140,orphan,51.4,true
UPSCCSEMains2014GS4.json,2014,GS4,1a,1a,,112,orphan,79.8,true
UPSCCSEMains2014GS4.json,2014,GS4,1b,1b,,138,orphan,55.0,true
